year,agegrp,sex,denominator,numerator
2000,00-04,1,4633,
2000,00-04,2,4615,
2000,05-09,1,4981,
2000,05-09,2,4824,
2000,10-14,1,4949,
2000,10-14,2,4822,
2000,15-19,1,4168,
2000,15-19,2,4221,
2000,20-24,1,2311,
2000,20-24,2,2852,
2000,25-29,1,1627,
2000,25-29,2,2268,
2000,30-34,1,1329,
2000,30-34,2,1974,
2000,35-39,1,1190,
2000,35-39,2,1890,
2000,40-44,1,1013,
2000,40-44,2,1666,
2000,45-49,1,793,
2000,45-49,2,1101,
2000,50-54,1,605,
2000,50-54,2,1065,
2000,55-59,1,480,
2000,55-59,2,846,
2000,60-64,1,433,
2000,60-64,2,884,
2000,65-69,1,306,
2000,65-69,2,820,
2000,70-74,1,340,
2000,70-74,2,681,
2000,75-79,1,144,
2000,75-79,2,230,
2000,80-84,1,87,
2000,80-84,2,185,
2000,85+,1,65,
2000,85+,2,194,
2001,00-04,1,4769,
2001,00-04,2,4733,
2001,05-09,1,5068,
2001,05-09,2,5035,
2001,10-14,1,5186,
2001,10-14,2,5036,
2001,15-19,1,4617,
2001,15-19,2,4677,
2001,20-24,1,2562,
2001,20-24,2,3081,
2001,25-29,1,1777,
2001,25-29,2,2587,
2001,30-34,1,1383,
2001,30-34,2,2069,
2001,35-39,1,1198,
2001,35-39,2,1914,
2001,40-44,1,1032,
2001,40-44,2,1787,
2001,45-49,1,814,
2001,45-49,2,1173,
2001,50-54,1,625,
2001,50-54,2,1106,
2001,55-59,1,455,
2001,55-59,2,779,
2001,60-64,1,456,
2001,60-64,2,948,
2001,65-69,1,281,
2001,65-69,2,771,
2001,70-74,1,329,
2001,70-74,2,749,
2001,75-79,1,148,
2001,75-79,2,275,
2001,80-84,1,95,
2001,80-84,2,207,
2001,85+,1,60,
2001,85+,2,188,
2002,00-04,1,4648,
2002,00-04,2,4649,
2002,05-09,1,5153,
2002,05-09,2,5038,
2002,10-14,1,5190,
2002,10-14,2,5119,
2002,15-19,1,4743,
2002,15-19,2,4773,
2002,20-24,1,2592,
2002,20-24,2,3195,
2002,25-29,1,1762,
2002,25-29,2,2623,
2002,30-34,1,1395,
2002,30-34,2,2127,
2002,35-39,1,1182,
2002,35-39,2,1874,
2002,40-44,1,1000,
2002,40-44,2,1818,
2002,45-49,1,828,
2002,45-49,2,1286,
2002,50-54,1,635,
2002,50-54,2,1125,
2002,55-59,1,453,
2002,55-59,2,767,
2002,60-64,1,466,
2002,60-64,2,959,
2002,65-69,1,289,
2002,65-69,2,740,
2002,70-74,1,295,
2002,70-74,2,756,
2002,75-79,1,163,
2002,75-79,2,336,
2002,80-84,1,100,
2002,80-84,2,209,
2002,85+,1,50,
2002,85+,2,173,
2003,00-04,1,4484,
2003,00-04,2,4394,
2003,05-09,1,5079,
2003,05-09,2,4999,
2003,10-14,1,5173,
2003,10-14,2,5134,
2003,15-19,1,4667,
2003,15-19,2,4656,
2003,20-24,1,2653,
2003,20-24,2,3222,
2003,25-29,1,1655,
2003,25-29,2,2421,
2003,30-34,1,1335,
2003,30-34,2,2047,
2003,35-39,1,1106,
2003,35-39,2,1765,
2003,40-44,1,969,
2003,40-44,2,1762,
2003,45-49,1,828,
2003,45-49,2,1387,
2003,50-54,1,667,
2003,50-54,2,1139,
2003,55-59,1,444,
2003,55-59,2,780,
2003,60-64,1,461,
2003,60-64,2,963,
2003,65-69,1,291,
2003,65-69,2,696,
2003,70-74,1,277,
2003,70-74,2,768,
2003,75-79,1,188,
2003,75-79,2,385,
2003,80-84,1,83,
2003,80-84,2,187,
2003,85+,1,49,
2003,85+,2,181,
2004,00-04,1,4487,
2004,00-04,2,4327,
2004,05-09,1,4914,
2004,05-09,2,4830,
2004,10-14,1,5119,
2004,10-14,2,5111,
2004,15-19,1,4625,
2004,15-19,2,4599,
2004,20-24,1,2713,
2004,20-24,2,3348,
2004,25-29,1,1602,
2004,25-29,2,2336,
2004,30-34,1,1260,
2004,30-34,2,1957,
2004,35-39,1,1078,
2004,35-39,2,1762,
2004,40-44,1,970,
2004,40-44,2,1722,
2004,45-49,1,803,
2004,45-49,2,1479,
2004,50-54,1,662,
2004,50-54,2,1106,
2004,55-59,1,473,
2004,55-59,2,886,
2004,60-64,1,446,
2004,60-64,2,877,
2004,65-69,1,306,
2004,65-69,2,710,
2004,70-74,1,253,
2004,70-74,2,760,
2004,75-79,1,203,
2004,75-79,2,433,
2004,80-84,1,84,
2004,80-84,2,173,
2004,85+,1,56,
2004,85+,2,189,
2005,00-04,1,4541,
2005,00-04,2,4411,
2005,05-09,1,4691,
2005,05-09,2,4692,
2005,10-14,1,5027,
2005,10-14,2,4924,
2005,15-19,1,4599,
2005,15-19,2,4527,
2005,20-24,1,2761,
2005,20-24,2,3409,
2005,25-29,1,1592,
2005,25-29,2,2276,
2005,30-34,1,1227,
2005,30-34,2,1896,
2005,35-39,1,1081,
2005,35-39,2,1738,
2005,40-44,1,937,
2005,40-44,2,1678,
2005,45-49,1,787,
2005,45-49,2,1536,
2005,50-54,1,662,
2005,50-54,2,1063,
2005,55-59,1,499,
2005,55-59,2,987,
2005,60-64,1,406,
2005,60-64,2,758,
2005,65-69,1,343,
2005,65-69,2,782,
2005,70-74,1,212,
2005,70-74,2,685,
2005,75-79,1,220,
2005,75-79,2,519,
2005,80-84,1,79,
2005,80-84,2,177,
2005,85+,1,66,
2005,85+,2,199,
2006,00-04,1,4659,
2006,00-04,2,4544,
2006,05-09,1,4584,
2006,05-09,2,4525,
2006,10-14,1,4956,
2006,10-14,2,4910,
2006,15-19,1,4611,
2006,15-19,2,4487,
2006,20-24,1,2808,
2006,20-24,2,3469,
2006,25-29,1,1605,
2006,25-29,2,2281,
2006,30-34,1,1273,
2006,30-34,2,2011,
2006,35-39,1,1063,
2006,35-39,2,1710,
2006,40-44,1,927,
2006,40-44,2,1624,
2006,45-49,1,795,
2006,45-49,2,1580,
2006,50-54,1,659,
2006,50-54,2,1107,
2006,55-59,1,505,
2006,55-59,2,999,
2006,60-64,1,387,
2006,60-64,2,692,
2006,65-69,1,369,
2006,65-69,2,825,
2006,70-74,1,197,
2006,70-74,2,626,
2006,75-79,1,215,
2006,75-79,2,573,
2006,80-84,1,82,
2006,80-84,2,200,
2006,85+,1,73,
2006,85+,2,214,
2007,00-04,1,4886,
2007,00-04,2,4859,
2007,05-09,1,4611,
2007,05-09,2,4489,
2007,10-14,1,5078,
2007,10-14,2,4940,
2007,15-19,1,4649,
2007,15-19,2,4593,
2007,20-24,1,2889,
2007,20-24,2,3498,
2007,25-29,1,1692,
2007,25-29,2,2385,
2007,30-34,1,1358,
2007,30-34,2,2120,
2007,35-39,1,1080,
2007,35-39,2,1777,
2007,40-44,1,963,
2007,40-44,2,1646,
2007,45-49,1,789,
2007,45-49,2,1634,
2007,50-54,1,688,
2007,50-54,2,1195,
2007,55-59,1,536,
2007,55-59,2,1027,
2007,60-64,1,379,
2007,60-64,2,684,
2007,65-69,1,387,
2007,65-69,2,837,
2007,70-74,1,199,
2007,70-74,2,606,
2007,75-79,1,195,
2007,75-79,2,577,
2007,80-84,1,94,
2007,80-84,2,244,
2007,85+,1,73,
2007,85+,2,209,
2008,00-04,1,5006,
2008,00-04,2,4888,
2008,05-09,1,4500,
2008,05-09,2,4351,
2008,10-14,1,4970,
2008,10-14,2,4834,
2008,15-19,1,4647,
2008,15-19,2,4647,
2008,20-24,1,2922,
2008,20-24,2,3440,
2008,25-29,1,1789,
2008,25-29,2,2558,
2008,30-34,1,1352,
2008,30-34,2,2071,
2008,35-39,1,1128,
2008,35-39,2,1791,
2008,40-44,1,925,
2008,40-44,2,1612,
2008,45-49,1,829,
2008,45-49,2,1645,
2008,50-54,1,690,
2008,50-54,2,1292,
2008,55-59,1,571,
2008,55-59,2,1042,
2008,60-64,1,367,
2008,60-64,2,695,
2008,65-69,1,386,
2008,65-69,2,840,
2008,70-74,1,197,
2008,70-74,2,579,
2008,75-79,1,191,
2008,75-79,2,593,
2008,80-84,1,116,
2008,80-84,2,274,
2008,85+,1,62,
2008,85+,2,199,
2009,00-04,1,5075,
2009,00-04,2,4927,
2009,05-09,1,4468,
2009,05-09,2,4372,
2009,10-14,1,4818,
2009,10-14,2,4637,
2009,15-19,1,4635,
2009,15-19,2,4606,
2009,20-24,1,2993,
2009,20-24,2,3503,
2009,25-29,1,1952,
2009,25-29,2,2747,
2009,30-34,1,1407,
2009,30-34,2,2091,
2009,35-39,1,1139,
2009,35-39,2,1798,
2009,40-44,1,938,
2009,40-44,2,1624,
2009,45-49,1,822,
2009,45-49,2,1619,
2009,50-54,1,681,
2009,50-54,2,1375,
2009,55-59,1,578,
2009,55-59,2,1013,
2009,60-64,1,405,
2009,60-64,2,778,
2009,65-69,1,372,
2009,65-69,2,767,
2009,70-74,1,207,
2009,70-74,2,595,
2009,75-79,1,168,
2009,75-79,2,575,
2009,80-84,1,119,
2009,80-84,2,315,
2009,85+,1,69,
2009,85+,2,195,
2010,00-04,1,4999,
2010,00-04,2,4810,
2010,05-09,1,4625,
2010,05-09,2,4528,
2010,10-14,1,4627,
2010,10-14,2,4568,
2010,15-19,1,4619,
2010,15-19,2,4458,
2010,20-24,1,3065,
2010,20-24,2,3445,
2010,25-29,1,2128,
2010,25-29,2,2893,
2010,30-34,1,1503,
2010,30-34,2,2128,
2010,35-39,1,1177,
2010,35-39,2,1809,
2010,40-44,1,948,
2010,40-44,2,1600,
2010,45-49,1,828,
2010,45-49,2,1601,
2010,50-54,1,690,
2010,50-54,2,1454,
2010,55-59,1,568,
2010,55-59,2,992,
2010,60-64,1,428,
2010,60-64,2,886,
2010,65-69,1,335,
2010,65-69,2,666,
2010,70-74,1,244,
2010,70-74,2,667,
2010,75-79,1,140,
2010,75-79,2,524,
2010,80-84,1,124,
2010,80-84,2,369,
2010,85+,1,79,
2010,85+,2,212,
2011,00-04,1,4896,
2011,00-04,2,4718,
2011,05-09,1,4738,
2011,05-09,2,4567,
2011,10-14,1,4469,
2011,10-14,2,4432,
2011,15-19,1,4546,
2011,15-19,2,4384,
2011,20-24,1,3131,
2011,20-24,2,3435,
2011,25-29,1,2257,
2011,25-29,2,2926,
2011,30-34,1,1528,
2011,30-34,2,2084,
2011,35-39,1,1231,
2011,35-39,2,1870,
2011,40-44,1,949,
2011,40-44,2,1577,
2011,45-49,1,825,
2011,45-49,2,1559,
2011,50-54,1,708,
2011,50-54,2,1509,
2011,55-59,1,577,
2011,55-59,2,1028,
2011,60-64,1,443,
2011,60-64,2,900,
2011,65-69,1,325,
2011,65-69,2,604,
2011,70-74,1,255,
2011,70-74,2,708,
2011,75-79,1,124,
2011,75-79,2,475,
2011,80-84,1,121,
2011,80-84,2,391,
2011,85+,1,89,
2011,85+,2,225,
2012,00-04,1,4671,
2012,00-04,2,4491,
2012,05-09,1,4782,
2012,05-09,2,4657,
2012,10-14,1,4307,
2012,10-14,2,4225,
2012,15-19,1,4440,
2012,15-19,2,4213,
2012,20-24,1,3028,
2012,20-24,2,3270,
2012,25-29,1,2286,
2012,25-29,2,2800,
2012,30-34,1,1576,
2012,30-34,2,2106,
2012,35-39,1,1224,
2012,35-39,2,1842,
2012,40-44,1,940,
2012,40-44,2,1571,
2012,45-49,1,809,
2012,45-49,2,1500,
2012,50-54,1,703,
2012,50-54,2,1522,
2012,55-59,1,576,
2012,55-59,2,1091,
2012,60-64,1,463,
2012,60-64,2,900,
2012,65-69,1,311,
2012,65-69,2,591,
2012,70-74,1,268,
2012,70-74,2,700,
2012,75-79,1,125,
2012,75-79,2,464,
2012,80-84,1,111,
2012,80-84,2,385,
2012,85+,1,85,
2012,85+,2,257,
2013,00-04,1,4345,
2013,00-04,2,4167,
2013,05-09,1,4734,
2013,05-09,2,4637,
2013,10-14,1,4106,
2013,10-14,2,3991,
2013,15-19,1,4232,
2013,15-19,2,4037,
2013,20-24,1,2868,
2013,20-24,2,3110,
2013,25-29,1,2227,
2013,25-29,2,2694,
2013,30-34,1,1623,
2013,30-34,2,2174,
2013,35-39,1,1205,
2013,35-39,2,1773,
2013,40-44,1,949,
2013,40-44,2,1574,
2013,45-49,1,749,
2013,45-49,2,1407,
2013,50-54,1,723,
2013,50-54,2,1494,
2013,55-59,1,577,
2013,55-59,2,1156,
2013,60-64,1,484,
2013,60-64,2,912,
2013,65-69,1,298,
2013,65-69,2,597,
2013,70-74,1,260,
2013,70-74,2,680,
2013,75-79,1,119,
2013,75-79,2,437,
2013,80-84,1,115,
2013,80-84,2,392,
2013,85+,1,86,
2013,85+,2,276,
2014,00-04,1,3092,
2014,00-04,2,3002,
2014,05-09,1,3649,
2014,05-09,2,3559,
2014,10-14,1,3112,
2014,10-14,2,3013,
2014,15-19,1,3158,
2014,15-19,2,3023,
2014,20-24,1,2133,
2014,20-24,2,2287,
2014,25-29,1,1651,
2014,25-29,2,2086,
2014,30-34,1,1262,
2014,30-34,2,1721,
2014,35-39,1,917,
2014,35-39,2,1328,
2014,40-44,1,698,
2014,40-44,2,1177,
2014,45-49,1,581,
2014,45-49,2,1090,
2014,50-54,1,537,
2014,50-54,2,1114,
2014,55-59,1,453,
2014,55-59,2,951,
2014,60-64,1,381,
2014,60-64,2,699,
2014,65-69,1,256,
2014,65-69,2,514,
2014,70-74,1,194,
2014,70-74,2,494,
2014,75-79,1,100,
2014,75-79,2,353,
2014,80-84,1,81,
2014,80-84,2,313,
2014,85+,1,69,
2014,85+,2,234,
