agegrp,year,sex,n,outcome
6,2000,1,4626,0
6,2000,2,4625,0
6,2001,1,4782,0
6,2001,2,4757,0
6,2002,1,4676,0
6,2002,2,4669,0
6,2003,1,4486,0
6,2003,2,4368,1
6,2004,1,4481,1
6,2004,2,4299,1
6,2005,1,4544,1
6,2005,2,4417,1
6,2006,1,4635,1
6,2006,2,4491,1
6,2007,1,4907,1
6,2007,2,4898,0
6,2008,1,4994,0
6,2008,2,4876,0
6,2009,1,5072,0
6,2009,2,4943,0
6,2010,1,5000,0
6,2010,2,4796,0
6,2011,1,4889,0
6,2011,2,4740,0
6,2012,1,4642,0
6,2012,2,4464,0
6,2013,1,4331,0
6,2013,2,4159,0
6,2014,1,3906,0
6,2014,2,3785,0
7,2000,1,4949,0
7,2000,2,4770,0
7,2001,1,5082,0
7,2001,2,5053,0
7,2002,1,5164,0
7,2002,2,5044,0
7,2003,1,5067,0
7,2003,2,5033,0
7,2004,1,4921,0
7,2004,2,4827,0
7,2005,1,4702,0
7,2005,2,4732,0
7,2006,1,4523,0
7,2006,2,4483,0
7,2007,1,4626,0
7,2007,2,4477,1
7,2008,1,4492,1
7,2008,2,4329,1
7,2009,1,4464,1
7,2009,2,4360,1
7,2010,1,4649,1
7,2010,2,4554,1
7,2011,1,4765,1
7,2011,2,4561,1
7,2012,1,4777,1
7,2012,2,4662,0
7,2013,1,4744,0
7,2013,2,4640,0
7,2014,1,4598,0
7,2014,2,4554,0
8,2000,1,4921,0
8,2000,2,4813,0
8,2001,1,5219,0
8,2001,2,5046,0
8,2002,1,5180,0
8,2002,2,5141,0
8,2003,1,5190,0
8,2003,2,5139,1
8,2004,1,5085,0
8,2004,2,5086,0
8,2005,1,5015,0
8,2005,2,4905,1
8,2006,1,4932,0
8,2006,2,4865,3
8,2007,1,5095,0
8,2007,2,4937,2
8,2008,1,4950,0
8,2008,2,4860,1
8,2009,1,4828,0
8,2009,2,4633,0
8,2010,1,4637,0
8,2010,2,4591,0
8,2011,1,4444,0
8,2011,2,4435,0
8,2012,1,4301,0
8,2012,2,4214,1
8,2013,1,4113,1
8,2013,2,3974,1
8,2014,1,3953,1
8,2014,2,3816,1
9,2000,1,4145,0
9,2000,2,4216,0
9,2001,1,4621,0
9,2001,2,4703,0
9,2002,1,4736,0
9,2002,2,4757,6
9,2003,1,4632,6
9,2003,2,4647,77
9,2004,1,4616,10
9,2004,2,4568,180
9,2005,1,4594,21
9,2005,2,4521,163
9,2006,1,4591,11
9,2006,2,4456,165
9,2007,1,4616,16
9,2007,2,4610,165
9,2008,1,4623,17
9,2008,2,4638,168
9,2009,1,4617,15
9,2009,2,4579,144
9,2010,1,4594,22
9,2010,2,4432,138
9,2011,1,4553,27
9,2011,2,4350,151
9,2012,1,4422,37
9,2012,2,4179,150
9,2013,1,4205,52
9,2013,2,4040,162
9,2014,1,4011,54
9,2014,2,3854,141
10,2000,1,2315,0
10,2000,2,2824,0
10,2001,1,2543,0
10,2001,2,3085,0
10,2002,1,2573,1
10,2002,2,3196,4
10,2003,1,2647,24
10,2003,2,3217,131
10,2004,1,2657,66
10,2004,2,3325,343
10,2005,1,2745,83
10,2005,2,3392,457
10,2006,1,2779,98
10,2006,2,3411,502
10,2007,1,2886,85
10,2007,2,3486,513
10,2008,1,2905,89
10,2008,2,3399,518
10,2009,1,2980,76
10,2009,2,3492,512
10,2010,1,3050,89
10,2010,2,3432,524
10,2011,1,3137,88
10,2011,2,3457,520
10,2012,1,2989,85
10,2012,2,3235,466
10,2013,1,2845,97
10,2013,2,3080,499
10,2014,1,2731,97
10,2014,2,2877,498
11,2000,1,1627,0
11,2000,2,2259,0
11,2001,1,1808,0
11,2001,2,2602,0
11,2002,1,1756,2
11,2002,2,2635,7
11,2003,1,1650,37
11,2003,2,2416,118
11,2004,1,1612,108
11,2004,2,2334,358
11,2005,1,1597,148
11,2005,2,2261,425
11,2006,1,1542,158
11,2006,2,2232,447
11,2007,1,1673,163
11,2007,2,2350,525
11,2008,1,1779,185
11,2008,2,2559,602
11,2009,1,1937,166
11,2009,2,2741,648
11,2010,1,2114,181
11,2010,2,2895,738
11,2011,1,2265,190
11,2011,2,2931,789
11,2012,1,2257,178
11,2012,2,2795,760
11,2013,1,2202,188
11,2013,2,2681,793
11,2014,1,2163,204
11,2014,2,2678,795
12,2000,1,1322,0
12,2000,2,1956,0
12,2001,1,1393,0
12,2001,2,2089,0
12,2002,1,1407,2
12,2002,2,2136,3
12,2003,1,1334,49
12,2003,2,2031,101
12,2004,1,1251,133
12,2004,2,1949,290
12,2005,1,1231,169
12,2005,2,1895,372
12,2006,1,1239,184
12,2006,2,1975,418
12,2007,1,1355,183
12,2007,2,2129,480
12,2008,1,1349,182
12,2008,2,2062,516
12,2009,1,1418,196
12,2009,2,2090,560
12,2010,1,1524,229
12,2010,2,2143,652
12,2011,1,1504,228
12,2011,2,2078,680
12,2012,1,1569,242
12,2012,2,2090,727
12,2013,1,1622,266
12,2013,2,2173,813
12,2014,1,1617,250
12,2014,2,2210,867
13,2000,1,1201,0
13,2000,2,1895,0
13,2001,1,1202,0
13,2001,2,1920,0
13,2002,1,1178,1
13,2002,2,1885,7
13,2003,1,1089,33
13,2003,2,1765,83
13,2004,1,1075,96
13,2004,2,1750,233
13,2005,1,1087,137
13,2005,2,1748,311
13,2006,1,1046,148
13,2006,2,1689,331
13,2007,1,1073,168
13,2007,2,1771,369
13,2008,1,1140,194
13,2008,2,1770,408
13,2009,1,1134,219
13,2009,2,1803,440
13,2010,1,1183,217
13,2010,2,1820,553
13,2011,1,1248,223
13,2011,2,1874,606
13,2012,1,1218,235
13,2012,2,1849,635
13,2013,1,1197,260
13,2013,2,1771,674
13,2014,1,1194,248
13,2014,2,1710,706
14,2000,1,1004,0
14,2000,2,1660,0
14,2001,1,1039,0
14,2001,2,1776,0
14,2002,1,995,0
14,2002,2,1819,3
14,2003,1,962,19
14,2003,2,1753,66
14,2004,1,969,85
14,2004,2,1725,188
14,2005,1,937,108
14,2005,2,1679,247
14,2006,1,908,125
14,2006,2,1597,277
14,2007,1,967,130
14,2007,2,1652,316
14,2008,1,920,134
14,2008,2,1609,348
14,2009,1,932,145
14,2009,2,1624,377
14,2010,1,949,168
14,2010,2,1596,412
14,2011,1,961,183
14,2011,2,1584,452
14,2012,1,944,205
14,2012,2,1559,476
14,2013,1,957,239
14,2013,2,1565,524
14,2014,1,904,254
14,2014,2,1511,557
15,2000,1,797,0
15,2000,2,1090,0
15,2001,1,813,0
15,2001,2,1180,0
15,2002,1,822,1
15,2002,2,1294,5
15,2003,1,834,17
15,2003,2,1387,52
15,2004,1,797,58
15,2004,2,1478,151
15,2005,1,777,80
15,2005,2,1545,192
15,2006,1,783,87
15,2006,2,1565,219
15,2007,1,786,80
15,2007,2,1627,263
15,2008,1,829,97
15,2008,2,1638,284
15,2009,1,822,103
15,2009,2,1616,309
15,2010,1,835,121
15,2010,2,1604,348
15,2011,1,820,141
15,2011,2,1560,398
15,2012,1,814,143
15,2012,2,1505,404
15,2013,1,745,144
15,2013,2,1403,420
15,2014,1,742,167
15,2014,2,1416,463
16,2000,1,605,0
16,2000,2,1067,0
16,2001,1,625,0
16,2001,2,1109,0
16,2002,1,629,1
16,2002,2,1119,1
16,2003,1,667,20
16,2003,2,1146,6
16,2004,1,658,43
16,2004,2,1111,34
16,2005,1,665,53
16,2005,2,1050,51
16,2006,1,649,64
16,2006,2,1103,79
16,2007,1,697,79
16,2007,2,1196,135
16,2008,1,693,86
16,2008,2,1288,185
16,2009,1,682,82
16,2009,2,1371,200
16,2010,1,694,102
16,2010,2,1457,244
16,2011,1,720,106
16,2011,2,1504,272
16,2012,1,699,108
16,2012,2,1508,318
16,2013,1,727,129
16,2013,2,1499,339
16,2014,1,700,124
16,2014,2,1426,350
17,2000,1,475,0
17,2000,2,849,0
17,2001,1,451,0
17,2001,2,780,0
17,2002,1,460,0
17,2002,2,768,0
17,2003,1,442,1
17,2003,2,764,4
17,2004,1,471,7
17,2004,2,875,4
17,2005,1,495,14
17,2005,2,994,3
17,2006,1,500,20
17,2006,2,999,3
17,2007,1,530,42
17,2007,2,1026,59
17,2008,1,576,46
17,2008,2,1049,82
17,2009,1,586,61
17,2009,2,1016,106
17,2010,1,566,56
17,2010,2,979,141
17,2011,1,576,51
17,2011,2,1031,156
17,2012,1,579,68
17,2012,2,1093,176
17,2013,1,568,74
17,2013,2,1152,197
17,2014,1,571,86
17,2014,2,1219,227
18,2000,1,428,0
18,2000,2,883,0
18,2001,1,455,0
18,2001,2,946,0
18,2002,1,462,0
18,2002,2,964,0
18,2003,1,469,1
18,2003,2,977,0
18,2004,1,446,3
18,2004,2,877,0
18,2005,1,415,3
18,2005,2,763,0
18,2006,1,386,2
18,2006,2,689,2
18,2007,1,385,14
18,2007,2,679,25
18,2008,1,362,15
18,2008,2,678,33
18,2009,1,404,19
18,2009,2,774,55
18,2010,1,428,28
18,2010,2,891,73
18,2011,1,448,35
18,2011,2,904,82
18,2012,1,456,42
18,2012,2,891,89
18,2013,1,483,47
18,2013,2,923,108
18,2014,1,486,46
18,2014,2,885,130
19,2000,1,316,0
19,2000,2,810,0
19,2001,1,282,0
19,2001,2,773,0
19,2002,1,295,0
19,2002,2,734,0
19,2003,1,285,0
19,2003,2,693,0
19,2004,1,300,0
19,2004,2,708,1
19,2005,1,341,1
19,2005,2,788,0
19,2006,1,372,1
19,2006,2,820,0
19,2007,1,381,10
19,2007,2,845,14
19,2008,1,400,13
19,2008,2,846,21
19,2009,1,376,12
19,2009,2,769,27
19,2010,1,333,13
19,2010,2,672,30
19,2011,1,329,14
19,2011,2,603,37
19,2012,1,318,12
19,2012,2,590,45
19,2013,1,298,16
19,2013,2,584,44
19,2014,1,325,28
19,2014,2,660,57
20,2000,1,342,0
20,2000,2,685,0
20,2001,1,333,0
20,2001,2,753,0
20,2002,1,300,0
20,2002,2,753,0
20,2003,1,282,0
20,2003,2,762,0
20,2004,1,254,0
20,2004,2,755,0
20,2005,1,214,0
20,2005,2,683,0
20,2006,1,197,0
20,2006,2,624,0
20,2007,1,200,3
20,2007,2,602,4
20,2008,1,187,3
20,2008,2,581,6
20,2009,1,206,9
20,2009,2,592,13
20,2010,1,242,11
20,2010,2,670,16
20,2011,1,253,8
20,2011,2,708,19
20,2012,1,266,12
20,2012,2,705,27
20,2013,1,272,12
20,2013,2,684,27
20,2014,1,247,14
20,2014,2,613,37
21,2000,1,145,0
21,2000,2,227,0
21,2001,1,148,0
21,2001,2,279,0
21,2002,1,161,0
21,2002,2,340,0
21,2003,1,187,0
21,2003,2,393,0
21,2004,1,202,0
21,2004,2,439,0
21,2005,1,219,0
21,2005,2,524,0
21,2006,1,219,0
21,2006,2,574,0
21,2007,1,200,1
21,2007,2,574,4
21,2008,1,197,0
21,2008,2,590,5
21,2009,1,164,1
21,2009,2,570,4
21,2010,1,144,0
21,2010,2,529,2
21,2011,1,125,2
21,2011,2,481,3
21,2012,1,126,4
21,2012,2,459,4
21,2013,1,111,5
21,2013,2,442,10
21,2014,1,126,7
21,2014,2,449,10
22,2000,1,87,0
22,2000,2,189,0
22,2001,1,97,0
22,2001,2,207,0
22,2002,1,103,0
22,2002,2,213,0
22,2003,1,80,0
22,2003,2,184,0
22,2004,1,87,0
22,2004,2,170,0
22,2005,1,80,0
22,2005,2,173,0
22,2006,1,82,0
22,2006,2,200,0
22,2007,1,90,3
22,2007,2,246,1
22,2008,1,118,3
22,2008,2,280,1
22,2009,1,120,2
22,2009,2,322,3
22,2010,1,123,1
22,2010,2,374,4
22,2011,1,123,1
22,2011,2,386,2
22,2012,1,117,1
22,2012,2,381,2
22,2013,1,120,1
22,2013,2,389,4
22,2014,1,100,0
22,2014,2,391,5
23,2000,1,65,0
23,2000,2,196,0
23,2001,1,63,0
23,2001,2,188,0
23,2002,1,53,0
23,2002,2,171,0
23,2003,1,49,0
23,2003,2,187,0
23,2004,1,55,0
23,2004,2,191,0
23,2005,1,66,0
23,2005,2,204,0
23,2006,1,72,0
23,2006,2,216,0
23,2007,1,75,0
23,2007,2,211,0
23,2008,1,63,1
23,2008,2,198,1
23,2009,1,71,2
23,2009,2,196,0
23,2010,1,80,3
23,2010,2,215,0
23,2011,1,91,2
23,2011,2,226,1
23,2012,1,84,1
23,2012,2,259,1
23,2013,1,85,1
23,2013,2,281,2
23,2014,1,90,1
23,2014,2,299,3
